Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
8J8LJIP5,journalArticle,2018,"Gigerenzer, Gerd",Statistical Rituals: The Replication Delusion and How We Got There,Advances in Methods and Practices in Psychological Science,,"2515-2459, 2515-2467",10.1177/2515245918771329,http://journals.sagepub.com/doi/10.1177/2515245918771329,,2018-06,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-11-05 16:36:16,198-218,,2,1,,,Statistical Rituals,,,,,,,en,,,,,Crossref,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVVVB4CR,journalArticle,2018,"Winchester, Catherine",Give every paper a read for reproducibility,Nature,,,10.1038/d41586-018-05140-x,http://www.nature.com/articles/d41586-018-05140-x,"I was hired to ferret out errors and establish routines that promote rigorous research, says Catherine Winchester.",2018-05-16,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-10-29 19:44:29,281,,,557,,,,,,,,,,EN,2018 Nature,,,,www.nature.com,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6D4VCRKH,webpage,2018,"Lee, Stephanie M.",Sliced And Diced: The Inside Story Of How An Ivy League Food Scientist Turned Shoddy Data Into Viral Studies,BuzzFeed,,,,https://www.buzzfeed.com/stephaniemlee/brian-wansink-cornell-p-hacking,"Brian Wansink won fame, funding, and influence for his science-backed advice on healthy eating. Now, emails show how the Cornell professor and his colleagues have hacked and massaged low-quality data into headline-friendly studies to “go virally big time.”",2018-02-25,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-02-27 01:56:00,,,,,,,Sliced And Diced,,,,,,,en,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECRM7B2N,journalArticle,2018,"Berg, Jeremy",Progress on reproducibility,Science,,"0036-8075, 1095-9203",10.1126/science.aar8654,http://science.sciencemag.org/content/359/6371/9,"![Figure][1]</img> CREDIT: TERRY CLARK Ideas supported by well-defined and clearly described methods and evidence are one of the cornerstones of science. After several publications indicated that a substantial number of scientific reports may not be readily reproducible, the scientific community and public began engaging in discussions about mechanisms to measure and enhance the reproducibility of scientific projects. In this context, several innovative steps have been taken in recent years. The results of these efforts confirm that improving reproducibility will require persistent and adaptive responses, and as we gain experience, implementation of the best possible practices. ![Figure][1]</img> CREDIT: MARK AIRS/GETTY IMAGES > “…improving reproducibility will require…the best possible practices.”  A framework has been developed to promote transparency and openness in scientific publications—the Transparency and Openness Promotion (TOP) guidelines (<http://science.sciencemag.org/content/348/6242/1422.full>). They cover key principles that apply to many scientific fields, although they were developed primarily by social scientists. The editors at Science have adjusted practices based on these policies and have gained experience with many of these issues. We fully support the principles behind these guidelines, including the centrality and benefits of transparency, as captured in our editorial principle that “all data and materials necessary to understand, assess, and extend the conclusions of the manuscript must be available to any reader” of Science and the Science family of journals. Our editorial policies now contain specific statements for each TOP guideline category. In some cases, we include the possibility of granting specific exceptions but insist that these circumstances be discussed with our editors early in the manuscript evaluation process to allow for thoughtful examination. Another approach to assess reproducibility involved an experimental program that attempted to replicate selected findings in cancer biology by groups not involved with the original studies (see <https://elifesciences.org/collections/9b1e83d1/reproducibility-project-cancer-biology>). Although some findings were largely reproduced, in at least one case (which was published in Science ), the key finding was not. Yet, the initial results have been utilized and extended in published studies from several other laboratories. This case reinforces the notion that reproducibility, certainly in cancer biology, is quite nuanced, and considerable care must be taken in evaluating both initial reports and reported attempts at extension and replication. Clear description of experimental details is essential to facilitate these efforts. The increased use of preprint servers such as bioRxiv by the biological and biomedical communities may play a role in facilitating communication of successful and unsuccessful replication results. Over the past year, we have retracted three papers previously published in Science . The circumstances of these retractions highlight some of the challenges connected to reproducibility policies. In one case, the authors failed to comply with an agreement to post the data underlying their study. Subsequent investigations concluded that one of the authors did not conduct the experiments as described and fabricated data. Here, the lack of compliance with the data-posting policy was associated with a much deeper issue and highlights one of the benefits of policies regarding data transparency. In a second case, some of the authors of a paper requested retraction after they could not reproduce the previously published results. Because all authors of the original paper did not agree with this conclusion, they decided to attempt additional experiments to try to resolve the issues. These reproducibility experiments did not conclusively confirm the original results, and the editors agreed that the paper should be retracted. This case again reveals some of the subtlety associated with reproducibility. In the final case, the authors retracted a paper over extensive and incompletely described variations in image processing. This emphasizes the importance of accurately presented primary data. As this new year moves forward, the editors of Science hope for continued progress toward strong policies and cultural adjustments across research ecosystems that will facilitate greater transparency, research reproducibility, and trust in the robustness and self-correcting nature of scientific results.  [1]: pending:yes",2018-01-05,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-29 19:57:12,9-9,,6371,359,,,,,,,,,,en,"Copyright © 2018, American Association for the Advancement of Science. http://www.sciencemag.org/about/science-licenses-journal-article-reuseThis is an article distributed under the terms of the Science Journals Default License.",,,,science.sciencemag.org,,PMID: 29301987,,,http://www.ncbi.nlm.nih.gov/pubmed/29301987,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4DBBYIXW,newspaperArticle,2018,"Diep, Francie",What a 'Reproducibility Crisis' Committee Found When It Looked at Climate Science,Pacific Standard,,,,https://psmag.com/environment/what-a-reproducibility-crisis-committee-found-when-it-looked-at-climate-science,,2018-05-17,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-10-30 16:18:31,,,,,,,,,,,,,,,,,,,,,,,,,Hand search; Hand search RRPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHPFH3UL,webpage,2018,"Doctorow, Cory",Koch-backed climate deniers are exploiting the reproducibility crisis to discredit climate science,Boing Boing,,,,https://boingboing.net/2018/04/20/national-ass-of-scholars.html,Koch-backed climate deniers are exploiting the reproducibility crisis to discredit climate science,2018-04-20,2020-07-13 16:56:23,2020-07-13 18:22:03,2018-10-30 16:19:01,,,,,,,,,,,,,,en-US,,,,,,,,,,,Hand search; Hand search RRPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7FG978Z,newspaperArticle,2018,"Schulson, Michael","A Remedy for Broken Science, Or an Attempt to Undercut It?",Undark,,,,https://undark.org/article/national-association-of-scholars-reproducibility/,A report from the National Association of Scholars takes on the reproducibility crisis in science. Not everyone views the group's motives as pure.,2018-04-18,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-30 16:08:58,,,,,,,,,,,,,,en-US,,,,,,,,,,,Hand search; Hand search RRPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVWNEDSK,report,2018,"Randall, David; Welser, Chrisopher; National Association of Scholars (U.S.)","The irreproducibility crisis of modern science: causes, consequences, and the road to reform",,,,,https://www.nas.org/images/documents/irreproducibility_report/NAS_irreproducibilityReport.pdf,"The inability of science to discern truth properly and its politicization go hand in hand. The ""Irreproducibility Crisis"" builds on this history of concern over the threats to scientific integrity, but it is also a departure. In this case, we are calling out a particular class of errors in contemporary science. Those errors are sometimes connected to the politicization of the sciences and scientific misconduct, but sometimes not. The reforms we call for would make for better science in the sense of limiting needless errors, but those reforms would also narrow the opportunities for sloppy political advocacy and damaging government edicts. This report deals with an epistemic problem, which is most visible in the large numbers of articles in reputable peer-reviewed journals in the sciences that have turned out to be invalid or highly questionable. Findings from experimental work or observational studies turn out, time and again, to be irreproducible. The high rates of irreproducibility are an ongoing scandal that rightly has upset a large portion of the scientific community.",2018-04,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-30 16:17:25,,,,,,,The irreproducibility crisis of modern science,,,,,National Association of Scholars,,en,,,,,Open WorldCat,,OCLC: 1046657692,,,,Hand search; Hand search RRPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZXS4GJV,magazineArticle,2018,"Gelman, Andrew",Can You Criticize Science (or Do Science) Without Looking Like an Obsessive? Maybe Not.,Slate,,,,https://slate.com/technology/2018/03/its-hard-to-criticize-science-without-looking-like-an-obsessive.html,We need to normalize the pursuit of accuracy.,2018-03-26,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-08 16:53:49,,,,,,,Can You Criticize Science (or Do Science) Without Looking Like an Obsessive?,,,,,,,en,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KQNKRPZJ,newspaperArticle,2018,"Johnson, George",New Truths That Only One Can See,New York Times,,0362-4331,,https://www.nytimes.com/2014/01/21/science/new-truths-that-only-one-can-see.html,"Replication, the gold standard of science, can help affirm the truth of a discovery, but it is getting harder all the time, raising questions about findings and unconscious bias.",2018-01-19,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-29 19:30:06,,,,,,,,,,,,,,en-US,,,,,NYTimes.com,,,,,,Hand search; Hand search RRPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science,,,,
TWWUTEUV,magazineArticle,2018,"Engber, Daniel",We’ve Been Told We’re Living in a Post-Truth Age. Don’t Believe It.,Slate,,,,https://slate.com/health-and-science/2018/01/weve-been-told-were-living-in-a-post-truth-age-dont-believe-it.html,It’s time to vanquish the persistent myths about how myths spread.,2018-01-03,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-01-09 16:43:46,,,,,,,,,,,,,,,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV7ILFJM,blogPost,2017,"Nosek, Brian",Why are we working so hard to open up science? A personal story.,Center for Open Science,,,,https://cos.io/blog/why-are-we-working-so-hard-open-science-personal-story/,,2017-12-08,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-29 18:50:09,,,,,,,,,,,,,,,,,,,,,,,,,Hand search; Hand search RRPs; blog; Nosek; personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM9DF7PY,newspaperArticle,2017,"Dominus, Susan",When the Revolution Came for Amy Cuddy,New York Times,,0362-4331,,https://www.nytimes.com/2017/10/18/magazine/when-the-revolution-came-for-amy-cuddy.html,"As a young social psychologist, she played by the rules and won big: an influential study, a viral TED talk, a prestigious job at Harvard. Then, suddenly, the rules changed.",2017-10-18,2020-07-13 16:56:22,2020-07-13 18:22:03,2017-10-20 20:59:38,,,,,,,,,,,,,,en-US,,,,,NYTimes.com,,,,,,"Research; Psychology and Psychologists; Harvard University; social psychology; Academic and Scientific Journals; Hand search; Hand search NCN; Hand search RRPs; Carney, Dana R; Cuddy, Amy (1972- ); Gelman, Andrew; Harvard Business School; Nelson, Leif D; power posing; Simmons, Joseph P (1977- ); Simonsohn, Uri; Social Media; Statistics; TED Conference","Finkel, Eli J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magazine,,,,
93QR7U6Z,blogPost,2017,"Lowe, Derek",Thoughts on Reproducibility,Science: In the Pipeline,,,,https://blogs.sciencemag.org/pipeline/archives/2017/08/09/thoughts-on-reproducibility-2,"Not too long ago, I was talking to someone outside the field about the ""reproducibility crisis"". They'd heard that there were many published papers whose results weren't solid, and wanted to know if I'd encountered that. I had to tell them that yep, I sure had, and that just about anyone who's worke",2017-08-09,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-29 19:58:53,,,,,,,,,,,,,,en-US,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTSZT3E3,webpage,2017,"Bates, Timothy","Changing the default p-value threshold for statistical significance ought not be done, and is the…",Medium,,,,https://medium.com/@timothycbates/changing-the-default-p-value-threshold-for-statistical-significance-ought-not-be-done-in-isolation-3a7ab357b5c1,"Shockingly, scientists’ claims largely fail to replicate, including claims with expensive social, economic and health consequences. This…",2017-07-23,2020-07-13 16:56:22,2020-07-13 18:22:03,2017-08-08 15:08:01,,,,,,,,,,,,,,,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ7BIT9B,newspaperArticle,2017,"Johnson, George",When Studies Are Wrong: A Coda,New York Times,,0362-4331,,https://www.nytimes.com/2014/03/07/science/when-studies-are-wrong-a-coda.html,"Are some scientific fields, like physics. less prone to faulty research?",2017-12-20,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-29 19:30:40,,,,,,,When Studies Are Wrong,,,,,,,en-US,,,,,NYTimes.com,,,,,,Hand search; Hand search RRPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science,,,,
YJ5W4QSZ,webpage,2017,"Resnick, Brian",What a nerdy debate about p-values shows about science — and how to fix it,Vox,,,,https://www.vox.com/science-and-health/2017/7/31/16021654/p-values-statistical-significance-redefine-0005,"The case for, and against, redefining ""statistical significance.""",2017-07-31,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-06-18 19:26:41,,,,,,,,,,,,,,,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6HMWN5X9,newspaperArticle,2017,"Kirchherr, Julian",Why we can't trust academic journals to tell the scientific truth,Guardian,,0261-3077,,https://www.theguardian.com/higher-education-network/2017/jun/06/why-we-cant-trust-academic-journals-to-tell-the-scientific-truth,Academic journals don’t select the research they publish on scientific rigour alone. So why aren’t academics taking to the streets about this?,2017-06-06,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-09-10 19:32:44,,,,,,,,,,,,,,en-GB,,,,,www.theguardian.com,,,,,,Hand search; Hand search NCN; NexisUni,Research; Science; Academic experts; Academics; Education; Higher education; Higher Education Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Higher Education Network,,,,
LUXJZDHX,blogPost,2017,"Koroshetz, Walter",Rigor not Mortis- strengthening the quality of neuroscience research | National Institute of Neurological Disorders and Stroke,NINDS Director's Messages,,,,https://www.ninds.nih.gov/News-Events/Directors-Messages/All-Directors-Messages/Rigor-not-Mortis-strengthening-quality,,2017-04-05,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-29 20:35:47,,,,,,,,,,,,,,,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6P3JA8CI,blogPost,2017,"Freedman, Leonard P.",A journalist shines a harsh spotlight on biomedicine’s reproducibility crisis,"Science: Books, Et Al.",,,,https://blogs.sciencemag.org/books/2017/04/03/a-journalist-shines-a-harsh-spotlight-on-biomedicines-reproducibility-crisis/,"In Rigor Mortis: How Sloppy Science Creates Worthless Cures, Crushes Hopes, and Wastes Billions, a sensationalistic title belies a carefully crafted book about data reproducibility and scientific rigor in biomedical research. Although the book breaks no new ground, at a time when the so-called “irre",2017-04-03,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-29 19:58:31,,,,,,,,,,,,,,en-US,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8VBKFK54,magazineArticle,2017,"Apple, Sam",The Young Billionaire Behind the War on Bad Science,Wired,,1059-1028,,https://www.wired.com/2017/01/john-arnold-waging-war-on-bad-science/,Meet the former Enron trader and hedge fund founder who's on a quest to expose bad science,2017-01-23,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-10-02 18:48:14,,,,,,,,,,,,,,,,,,,www.wired.com,,,,,,Hand search; Hand search NCN; NexisUni,magazine-25.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6S9B4NFJ,journalArticle,2017,"Baker, Monya; Dolgin, Elie",Reproducibility project yields muddy results,Nature News,,,,,,2017-01-19,2020-07-13 16:56:22,2020-07-13 18:22:03,,2,,,541,,,,,,,,,,en,,,,,Zotero,,,,,,Hand search; Hand search RRPs; ambiguity; cancer biology; clinical science; open science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC7IZNHT,magazineArticle,2017,"Yong, Ed",How Reliable Are Cancer Studies?,Atlantic,,,,https://www.theatlantic.com/science/archive/2017/01/what-proportion-of-cancer-studies-are-reliable/513485/,A project that tried to reproduce the results of 50 landmark papers turned into an arduous slog—and that’s a problem in itself.,2017-01-18,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-09-24 17:41:24,,,,,,,,,,,,,,en-US,,,,,,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L25KIIK8,journalArticle,2016,"Crabbe, John C.",Reproducibility of Experiments with Laboratory Animals: What Should We Do Now?,Alcoholism: Clinical and Experimental Research,,0145-6008,10.1111/acer.13228,https://onlinelibrary-wiley-com.ezproxy.library.wisc.edu/doi/full/10.1111/acer.13228,,2016-09-26,2020-07-13 16:56:22,2020-07-13 18:22:03,,2305-2308,,11,40,,Alcoholism: Clinical and Experimental Research,Reproducibility of Experiments with Laboratory Animals,,,,,,,,,,,,onlinelibrary-wiley-com.ezproxy.library.wisc.edu (Atypon),,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLCXI9WD,magazineArticle,2016,"Yong, Ed",The Inevitable Evolution of Bad Science,Atlantic,,,,https://www.theatlantic.com/science/archive/2016/09/the-inevitable-evolution-of-bad-science/500609/,A simulation shows how the incentives of modern academia naturally select for weaker and less reliable results.,2016-09-21,2020-07-13 16:56:22,2020-07-13 18:22:03,2018-11-04 13:14:58,,,,,,,,,,,,,,en-US,,,,,,,,,,,Hand search; Hand search RRPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRHV9WGK,journalArticle,2016,"Baker, Monya",Dutch agency launches first grants programme dedicated to replication,Nature News,,,10.1038/nature.2016.20287,http://www.nature.com/news/dutch-agency-launches-first-grants-programme-dedicated-to-replication-1.20287,Three-year pilot devotes €3 million to verifying other studies.,2016-07-20,2020-07-13 16:56:19,2020-07-13 18:22:03,2017-08-14 15:47:30,,,,,,,,,,,,,,,,,,,www.nature.com,,,,,,Hand search; Hand search NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
