Name,File Size (paragraphs),Kappa,Agreement,A And B (%),Not A And Not B (%),Disagreement,A And Not B (%),B And Not A (%)
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Ioannidis, John P. A. (2005)",169,0,99.41,0,99.41,0.59,0,0.59
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Murphy, Kate (2017)",32,0,96.88,0,96.88,3.12,3.12,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Price, Michael, 2011 & Am, 10~00 (2011)",53,0,94.34,0,94.34,5.66,5.66,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Rhodes, Ella (2015)",25,0,96,0,96,4,4,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Yong, Ed (2018) (2)",33,0,93.94,0,93.94,6.06,0,6.06
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Shrout, Patrick E. & Rodgers, Joseph L. (2018)",327,0.12,95.72,0.31,95.41,4.28,4.28,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Bak, Thomas H. (2016)",137,0.15,92.7,0.73,91.97,7.3,6.57,0.73
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Pashler, Harold & Harris, Christine R. (2012)",73,0.16,83.56,2.74,80.82,16.44,6.85,9.59
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Earp, Brian D. & Trafimow, David (2015)",253,0.24,97.63,0.4,97.23,2.37,0,2.37
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Gibney, Elizabeth (2012)",45,0.48,95.55,2.22,93.33,4.44,0,4.44
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Parsons, Sam (2017)",25,0.65,96,4,92,4,0,4
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Rehman, Jalees (2013)",57,0.66,98.24,1.75,96.49,1.75,0,1.75
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Nosek, Brian A., Spies, Jeffrey R. & Motyl, Matt (2012)",265,0.66,99.24,0.75,98.49,0.76,0.38,0.38
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Gelman, Andrew (2018)",121,0.74,98.35,2.48,95.87,1.65,1.65,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Button, Katherine S., Ioannidis, John P. A., Mokrysz, Claire, Nosek, Brian A., Flint, Jonathan, Robinson, Emma S. J. & Munafò, Marcus R. (2013)",450,0.86,99.78,0.67,99.11,0.22,0,0.22
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Vazire, Simine (2018)",102,0.9,99.02,4.9,94.12,0.98,0,0.98
Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : 2013 - The Statistical Puzzle Over How Much Biomedical Re,27,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : 2018 - Gender and Health - Gender Health; Reports on Gend,20,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Achenbach, Joel (2014)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Alberts, Bruce, Cicerone, Ralph J., Fienberg, Stephen E., Kamb, Alexander, McNutt, Marcia, Nerem, Robert M., Schekman, Randy, Shiffrin, Richard, Stodden, Victoria, Suresh, Subra, Zuber, Maria T., Pope, Barbara Kline & Jamieson, Kathleen Hall (2015)",93,1,100,1.08,98.92,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Baker, Monya (2015) (2)",51,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Baker, Monya (2016)",40,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Croughan, Matthew (2017)",81,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Diep, Francie (2014)",13,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Diep, Francie (2018)",31,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Doctorow, Cory (2018)",28,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Doidge, Norman (2016)",134,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Gilbert, Daniel T., King, Gary, Pettigrew, Stephen & Wilson, Timothy D. (2016)",47,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Gopinath, C. (2013)",26,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Gordon, Ascelin & Fidler, Fiona (2013)",53,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Justice, Monica J. & Dhillon, Paraminder (2016)",45,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Laframboise, Donna (2017)",23,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Laframboise, Donna (2018)",39,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Leek, Jeffrey T. & Peng, Roger D. (2015)",28,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Lowe, Derek (2013) (2)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Macleod, Malcolm R. (2018)",52,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Oransky, Ivan (2014)",123,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Peng, Roger D., Dominici, Francesca & Zeger, Scott L. (2006)",157,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Reardon, Sara (2016)",48,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Simmons, Joseph P., Nelson, Leif D. & Simonsohn, Uri (2011)",132,1,100,0.76,99.24,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Valdez, Joshua, Kim, Matthew, Rueschman, Michael, Socrates, Vimig, Redline, Susan & Sahoo, Satya S. (2017)",183,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Change expectations about science\Scientists' expectations : Zwaan, Rolf A., Pecher, Diane, Paolacci, Gabriele, Bouwmeester, Samantha, Verkoeijen, Peter, Dijkstra, Katinka & Zeelenberg, René (2018)",108,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Research methods\Sloppy research practices,"",0.34,99.4,0.16,99.24,0.61,0.24,0.37
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Earp, Brian D. & Trafimow, David (2015)",253,0,99.6,0,99.6,0.4,0.4,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Fanelli, Daniele (2018)",61,0,96.72,0,96.72,3.28,0,3.28
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Gopinath, C. (2013)",26,0,96.15,0,96.15,3.85,3.85,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Leek, Jeffrey T. & Peng, Roger D. (2015)",28,0,92.86,0,92.86,7.14,0,7.14
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Macleod, Malcolm R. (2018)",52,0,98.08,0,98.08,1.92,0,1.92
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Murphy, Kate (2017)",32,0,93.75,0,93.75,6.25,6.25,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Nosek, Brian A., Spies, Jeffrey R. & Motyl, Matt (2012)",265,0,99.62,0,99.62,0.38,0.38,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Shrout, Patrick E. & Rodgers, Joseph L. (2018)",327,0,99.08,0,99.08,0.92,0.92,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Yong, Ed (2018) (2)",33,0,93.94,0,93.94,6.06,0,6.06
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Kummer, Larry & Editor (2016)",313,1,100,0.32,99.68,0,0,0
Nodes\\Sources and solutions\Research methods\Sloppy research practices : 2013 - The Statistical Puzzle Over How Much Biomedical Re,27,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Research methods\Sloppy research practices : 2018 - Gender and Health - Gender Health; Reports on Gend,20,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Achenbach, Joel (2014)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Alberts, Bruce, Cicerone, Ralph J., Fienberg, Stephen E., Kamb, Alexander, McNutt, Marcia, Nerem, Robert M., Schekman, Randy, Shiffrin, Richard, Stodden, Victoria, Suresh, Subra, Zuber, Maria T., Pope, Barbara Kline & Jamieson, Kathleen Hall (2015)",93,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Bak, Thomas H. (2016)",137,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Baker, Monya (2015) (2)",51,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Baker, Monya (2016)",40,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Botkin-Kowacki, Eva (2016)",39,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Button, Katherine S., Ioannidis, John P. A., Mokrysz, Claire, Nosek, Brian A., Flint, Jonathan, Robinson, Emma S. J. & Munafò, Marcus R. (2013)",450,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Croughan, Matthew (2017)",81,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Diep, Francie (2014)",13,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Diep, Francie (2018)",31,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Doctorow, Cory (2018)",28,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Doidge, Norman (2016)",134,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Research methods\Sloppy research practices : Editorial - 2013 - Announcement Reducing our irreproducibility,23,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Freedman, David H. (2010)",54,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Gall, Thomas, Ioannidis, John P. A. & Maniadis, Zacharias (2017)",160,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Gelman, Andrew (2018)",121,1,100,4.13,95.87,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Gibney, Elizabeth (2012)",45,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Gilbert, Daniel T., King, Gary, Pettigrew, Stephen & Wilson, Timothy D. (2016)",47,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Gordon, Ascelin & Fidler, Fiona (2013)",53,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Hengartner, Michael P. (2018)",97,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Ioannidis, John P. A. (2005)",169,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Justice, Monica J. & Dhillon, Paraminder (2016)",45,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Laframboise, Donna (2017)",23,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Laframboise, Donna (2018)",39,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Lilienfeld, Scott O. (2017)",79,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Lowe, Derek (2013) (2)",61,1,100,1.64,98.36,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Oransky, Ivan (2014)",123,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Parsons, Sam (2017)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Pashler, Harold & Harris, Christine R. (2012)",73,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Peng, Roger D., Dominici, Francesca & Zeger, Scott L. (2006)",157,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Price, Michael, 2011 & Am, 10~00 (2011)",53,1,100,1.89,98.11,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Reardon, Sara (2016)",48,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Rehman, Jalees (2013)",57,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Rhodes, Ella (2015)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Simmons, Joseph P., Nelson, Leif D. & Simonsohn, Uri (2011)",132,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Valdez, Joshua, Kim, Matthew, Rueschman, Michael, Socrates, Vimig, Redline, Susan & Sahoo, Satya S. (2017)",183,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Vazire, Simine (2018)",102,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Research methods\Sloppy research practices : Zwaan, Rolf A., Pecher, Diane, Paolacci, Gabriele, Bouwmeester, Samantha, Verkoeijen, Peter, Dijkstra, Katinka & Zeelenberg, René (2018)",108,1,100,0,100,0,0,0
Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies,"",0.35,97.98,0.57,97.41,2.02,1.45,0.57
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Bak, Thomas H. (2016)",137,0,99.27,0,99.27,0.73,0.73,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Baker, Monya (2015) (2)",51,0,98.04,0,98.04,1.96,0,1.96
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Botkin-Kowacki, Eva (2016)",39,0,97.44,0,97.44,2.56,0,2.56
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Button, Katherine S., Ioannidis, John P. A., Mokrysz, Claire, Nosek, Brian A., Flint, Jonathan, Robinson, Emma S. J. & Munafò, Marcus R. (2013)",450,0,94.67,0,94.67,5.33,5.33,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Doidge, Norman (2016)",134,0,99.25,0,99.25,0.75,0,0.75
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Earp, Brian D. & Trafimow, David (2015)",253,0,99.6,0,99.6,0.4,0.4,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Freedman, David H. (2010)",54,0,96.3,0,96.3,3.7,3.7,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Gibney, Elizabeth (2012)",45,0,97.78,0,97.78,2.22,0,2.22
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Gordon, Ascelin & Fidler, Fiona (2013)",53,0,98.11,0,98.11,1.89,0,1.89
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Ioannidis, John P. A. (2005)",169,0,99.41,0,99.41,0.59,0,0.59
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Justice, Monica J. & Dhillon, Paraminder (2016)",45,0,97.78,0,97.78,2.22,2.22,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Kummer, Larry & Editor (2016)",313,0,99.36,0,99.36,0.64,0.64,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Laframboise, Donna (2017)",23,0,91.3,0,91.3,8.7,8.7,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Peng, Roger D., Dominici, Francesca & Zeger, Scott L. (2006)",157,0,98.73,0,98.73,1.27,0,1.27
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Rehman, Jalees (2013)",57,0,98.25,0,98.25,1.75,1.75,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Rhodes, Ella (2015)",25,0,96,0,96,4,4,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Valdez, Joshua, Kim, Matthew, Rueschman, Michael, Socrates, Vimig, Redline, Susan & Sahoo, Satya S. (2017)",183,0,99.45,0,99.45,0.55,0.55,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Vazire, Simine (2018)",102,0,98.04,0,98.04,1.96,0,1.96
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Zwaan, Rolf A., Pecher, Diane, Paolacci, Gabriele, Bouwmeester, Samantha, Verkoeijen, Peter, Dijkstra, Katinka & Zeelenberg, René (2018)",108,0,97.22,0,97.22,2.78,2.78,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Shrout, Patrick E. & Rodgers, Joseph L. (2018)",327,0.25,98.17,0.31,97.86,1.83,1.83,0
Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : 2013 - The Statistical Puzzle Over How Much Biomedical Re,27,0.26,85.18,3.7,81.48,14.81,11.11,3.7
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Gilbert, Daniel T., King, Gary, Pettigrew, Stephen & Wilson, Timothy D. (2016)",47,0.29,91.49,2.13,89.36,8.51,2.13,6.38
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Yong, Ed (2018) (2)",33,0.3,87.88,3.03,84.85,12.12,12.12,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Hengartner, Michael P. (2018)",97,0.37,93.81,2.06,91.75,6.18,5.15,1.03
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Nosek, Brian A., Spies, Jeffrey R. & Motyl, Matt (2012)",265,0.46,96.6,1.51,95.09,3.4,3.02,0.38
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Fanelli, Daniele (2018)",61,0.49,96.72,1.64,95.08,3.28,3.28,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Lowe, Derek (2013) (2)",61,0.66,98.36,1.64,96.72,1.64,1.64,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Simmons, Joseph P., Nelson, Leif D. & Simonsohn, Uri (2011)",132,0.66,99.24,0.76,98.48,0.76,0.76,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Gall, Thomas, Ioannidis, John P. A. & Maniadis, Zacharias (2017)",160,0.66,99.37,0.62,98.75,0.62,0.62,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Macleod, Malcolm R. (2018)",52,0.81,96.16,9.62,86.54,3.85,0,3.85
Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : 2018 - Gender and Health - Gender Health; Reports on Gend,20,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Quantifying studies\Other quantifying studies : Achenbach, Joel (2014)",61,1,100,0,100,0,0,0
